Inv01_Temp,Wms01_Irr,Wms01_Temp,Avg_Energy,Date,Hour,Quarter
36.981818181818184,943.2727272727273,36.90909090909091,0.6,2020-03-15,12,3
41.857142857142854,939.7857142857143,35.785714285714285,0.5714285714285714,2020-03-15,12,4
45.11875,940.3125,35.0125,0.5,2020-03-15,13,1
47.27333333333333,928.4666666666667,35.20666666666667,0.5333333333333333,2020-03-15,13,2
48.64,905.9333333333333,35.46,0.5333333333333333,2020-03-15,13,3
49.5,876.4285714285714,35.614285714285714,0.5714285714285714,2020-03-15,13,4
41.4,861.5,35.375,0.5,2020-03-15,14,1
40.76,821.0666666666667,36.88,0.5333333333333333,2020-03-15,14,2
40.95333333333333,784.0,35.806666666666665,0.4666666666666667,2020-03-15,14,3
41.021428571428565,743.7142857142857,35.885714285714286,0.42857142857142855,2020-03-15,14,4
41.05,701.3125,35.5125,0.4375,2020-03-15,15,1
41.94666666666667,666.0666666666667,36.013333333333335,0.3333333333333333,2020-03-15,15,2
46.875,628.5,35.8625,0.375,2020-03-15,15,3
47.55714285714286,569.7142857142857,36.864285714285714,0.19047619047619047,2020-03-15,15,4
42.73125,518.375,36.41875,0.3125,2020-03-15,16,1
42.026666666666664,461.6666666666667,34.919999999999995,0.2,2020-03-15,16,2
42.4,400.8666666666667,35.28666666666666,0.26666666666666666,2020-03-15,16,3
42.42857142857143,343.7142857142857,34.68571428571428,0.14285714285714285,2020-03-15,16,4
42.19375,281.0625,33.9875,0.1875,2020-03-15,17,1
42.13333333333333,206.93333333333334,33.45333333333333,0.06666666666666667,2020-03-15,17,2
42.12,140.0,32.92666666666666,0.06666666666666667,2020-03-15,17,3
45.67142857142857,82.21428571428571,32.08571428571428,0.07142857142857142,2020-03-15,17,4
48.9125,31.3125,30.90625,0.0,2020-03-15,18,1
49.4,5.6,30.139999999999997,0.0,2020-03-15,18,2
48.25,722.5,30.2875,0.4375,2020-03-16,10,1
48.84,767.2666666666667,30.586666666666666,0.4666666666666667,2020-03-16,10,2
49.413333333333334,803.1333333333333,31.313333333333333,0.4666666666666667,2020-03-16,10,3
48.050000000000004,840.7857142857143,31.74285714285714,0.5714285714285714,2020-03-16,10,4
44.1,873.9375,32.94375,0.5,2020-03-16,11,1
48.77333333333333,904.4,32.78666666666667,0.5333333333333333,2020-03-16,11,2
43.75333333333333,927.4,33.513333333333335,0.6,2020-03-16,11,3
40.41428571428571,934.8571428571429,34.7,0.5,2020-03-16,11,4
40.7,959.9375,35.36875,0.5625,2020-03-16,12,1
41.1,969.0,35.38666666666666,0.5333333333333333,2020-03-16,12,2
41.24666666666667,974.4,36.10666666666667,0.6,2020-03-16,12,3
41.614285714285714,965.3571428571429,36.50714285714286,0.5,2020-03-16,12,4
41.725,965.875,36.59375,0.5625,2020-03-16,13,1
42.05333333333333,940.0666666666667,36.89333333333333,0.4666666666666667,2020-03-16,13,2
42.20666666666667,918.0,37.059999999999995,0.5333333333333333,2020-03-16,13,3
42.23571428571428,882.0714285714286,36.785714285714285,0.5,2020-03-16,13,4
42.475,842.875,36.7875,0.5,2020-03-16,14,1
42.89333333333333,827.5333333333333,36.9,0.5333333333333333,2020-03-16,14,2
43.26,789.7333333333333,36.64,0.4666666666666667,2020-03-16,14,3
43.07857142857143,746.1428571428571,36.75714285714286,0.42857142857142855,2020-03-16,14,4
42.875,703.75,37.51875,0.4375,2020-03-16,15,1
42.792857142857144,661.7142857142857,37.042857142857144,0.4,2020-03-16,15,2
42.94666666666667,631.2666666666667,36.96666666666667,0.3333333333333333,2020-03-16,15,3
43.357142857142854,583.2857142857143,37.23571428571428,0.35714285714285715,2020-03-16,15,4
43.79375,535.9375,36.0375,0.3125,2020-03-16,16,1
44.20666666666667,473.8,36.519999999999996,0.26666666666666666,2020-03-16,16,2
44.22,416.26666666666665,35.806666666666665,0.2,2020-03-16,16,3
44.01428571428572,367.2857142857143,35.18571428571429,0.21428571428571427,2020-03-16,16,4
44.356249999999996,305.0,35.1875,0.125,2020-03-16,17,1
43.96666666666667,227.53333333333333,33.45333333333333,0.13333333333333333,2020-03-16,17,2
43.7,142.66666666666666,32.77333333333333,0.06666666666666667,2020-03-16,17,3
47.41428571428571,78.71428571428571,31.864285714285717,0.0,2020-03-16,17,4
49.89166666666667,34.5,31.099999999999998,0.0,2020-03-16,18,1
35.608333333333334,100.58333333333333,21.133333333333336,0.0012658227848101266,2020-03-16,7,2
37.693333333333335,154.0,22.293333333333333,0.13333333333333333,2020-03-16,7,3
39.85,166.5,23.55,0.07142857142857142,2020-03-16,7,4
41.01875,221.375,23.775,0.1875,2020-03-16,8,1
42.38666666666666,263.1333333333333,24.746666666666666,0.13333333333333333,2020-03-16,8,2
43.65333333333333,363.46666666666664,25.513333333333332,0.26666666666666666,2020-03-16,8,3
44.6,427.92857142857144,26.8,0.2857142857142857,2020-03-16,8,4
45.475,492.9375,27.675,0.3125,2020-03-16,9,1
46.32666666666667,556.8,28.526666666666664,0.3333333333333333,2020-03-16,9,2
47.07333333333334,617.5333333333333,29.153333333333332,0.4,2020-03-16,9,3
47.69285714285714,673.0714285714286,29.571428571428573,0.42857142857142855,2020-03-16,9,4
46.26,733.7333333333333,30.926666666666666,0.1891891891891892,2020-03-17,10,1
47.72,776.7333333333333,31.3,0.4666666666666667,2020-03-17,10,2
48.666666666666664,814.4666666666667,31.66,0.5333333333333333,2020-03-17,10,3
49.471428571428575,853.1428571428571,31.849999999999998,0.5,2020-03-17,10,4
44.44375,884.875,32.19375,0.5625,2020-03-17,11,1
