Name,Description,Type,Conversion,Unit,Decimals,Comments
Mfm01_RY_Volt,Mfm01_RY_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_R_Amps,Mfm01_R_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_R_Volt,Mfm01_R_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_React_Power,Mfm01_React_Power,Data source,RawData × 1,kvar,2,Instantaneous value
Mfm01_YB_Volt,Mfm01_YB_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm01_Y_Amps,Mfm01_Y_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm01_Y_Volt,Mfm01_Y_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Act_Power,Mfm02_Act_Power,Data source,RawData × 1,kW,2,Instantaneous value
Mfm02_Avg_Amps,Mfm02_Avg_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_Avg_LL_Volt,Mfm02_Avg_LL_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Avg_LN_Volt,Mfm02_Avg_LN_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_BR_Volt,Mfm02_BR_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_B_Amps,Mfm02_B_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_B_Volt,Mfm02_B_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Export Energy,Mfm02_Export Energy,Data source,RawData ÷ 1000,MWh,2,Incremental value
Mfm02_Freq,Mfm02_Freq,Data source,RawData × 1,Hz,2,Instantaneous value
Mfm02_Import Energy,Mfm02_Import Energy,Data source,RawData × 1,kWh,2,Incremental value
Mfm02_Pf,Mfm02_Pf,Data source,RawData × 1,,2,Instantaneous value
Mfm02_RY_Volt,Mfm02_RY_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_R_Amps,Mfm02_R_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_R_Volt,Mfm02_R_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_React_Power,Mfm02_React_Power,Data source,RawData × 1,kvar,2,Instantaneous value
Mfm02_YB_Volt,Mfm02_YB_Volt,Data source,RawData × 1,V,2,Instantaneous value
Mfm02_Y_Amps,Mfm02_Y_Amps,Data source,RawData × 1,A,2,Instantaneous value
Mfm02_Y_Volt,Mfm02_Y_Volt,Data source,RawData × 1,V,2,Instantaneous value
Wms01_Irradiance,Wms01_Irradiance,Data source,RawData × 1,W/m²,2,Instantaneous value
Wms02_Irradiance,Wms02_Irradiance,Data source,RawData × 1,W/m²,2,Instantaneous value
